episode,source,target
1,IRIDIUM 144,IRIDIUM 150
2,IRIDIUM 144,IRIDIUM 150
3,IRIDIUM 130,IRIDIUM 112
4,IRIDIUM 130,IRIDIUM 112
5,IRIDIUM 106,IRIDIUM 171
6,IRIDIUM 120,IRIDIUM 154
7,IRIDIUM 165,IRIDIUM 154
8,IRIDIUM 145,IRIDIUM 112
9,IRIDIUM 144,IRIDIUM 150
10,IRIDIUM 119,IRIDIUM 112
11,IRIDIUM 142,IRIDIUM 136
12,IRIDIUM 139,IRIDIUM 112
13,IRIDIUM 165,IRIDIUM 154
14,IRIDIUM 136,IRIDIUM 112
15,IRIDIUM 134,IRIDIUM 142
16,IRIDIUM 112,IRIDIUM 119
17,IRIDIUM 110,IRIDIUM 112
18,IRIDIUM 119,IRIDIUM 112
19,IRIDIUM 165,IRIDIUM 154
20,IRIDIUM 110,IRIDIUM 112
21,IRIDIUM 112,IRIDIUM 119
22,IRIDIUM 135,IRIDIUM 120
23,IRIDIUM 130,IRIDIUM 143
24,IRIDIUM 135,IRIDIUM 120
25,IRIDIUM 119,IRIDIUM 112
26,IRIDIUM 130,IRIDIUM 143
27,IRIDIUM 165,IRIDIUM 106
28,IRIDIUM 119,IRIDIUM 112
29,IRIDIUM 165,IRIDIUM 106
30,IRIDIUM 173,IRIDIUM 112
31,IRIDIUM 165,IRIDIUM 154
32,IRIDIUM 130,IRIDIUM 112
33,IRIDIUM 139,IRIDIUM 112
34,IRIDIUM 130,IRIDIUM 112
35,IRIDIUM 120,IRIDIUM 154
36,IRIDIUM 130,IRIDIUM 143
37,IRIDIUM 173,IRIDIUM 112
38,IRIDIUM 144,IRIDIUM 150
39,IRIDIUM 120,IRIDIUM 154
40,IRIDIUM 142,IRIDIUM 136
41,IRIDIUM 144,IRIDIUM 150
42,IRIDIUM 145,IRIDIUM 112
43,IRIDIUM 139,IRIDIUM 112
44,IRIDIUM 135,IRIDIUM 120
45,IRIDIUM 120,IRIDIUM 154
46,IRIDIUM 130,IRIDIUM 143
47,IRIDIUM 110,IRIDIUM 112
48,IRIDIUM 120,IRIDIUM 154
49,IRIDIUM 134,IRIDIUM 142
50,IRIDIUM 120,IRIDIUM 154
51,IRIDIUM 120,IRIDIUM 154
52,IRIDIUM 139,IRIDIUM 112
53,IRIDIUM 102,IRIDIUM 143
54,IRIDIUM 139,IRIDIUM 112
55,IRIDIUM 135,IRIDIUM 120
56,IRIDIUM 165,IRIDIUM 106
57,IRIDIUM 103,IRIDIUM 106
58,IRIDIUM 135,IRIDIUM 120
59,IRIDIUM 165,IRIDIUM 154
