episode,source,target
1,IRIDIUM 102,IRIDIUM 141
2,IRIDIUM 166,IRIDIUM 150
3,IRIDIUM 134,IRIDIUM 112
4,IRIDIUM 173,IRIDIUM 168
5,IRIDIUM 134,IRIDIUM 112
6,IRIDIUM 111,IRIDIUM 112
7,IRIDIUM 150,IRIDIUM 166
8,IRIDIUM 173,IRIDIUM 168
9,IRIDIUM 166,IRIDIUM 150
10,IRIDIUM 152,IRIDIUM 149
11,IRIDIUM 153,IRIDIUM 149
12,IRIDIUM 152,IRIDIUM 149
13,IRIDIUM 166,IRIDIUM 150
14,IRIDIUM 166,IRIDIUM 152
15,IRIDIUM 168,IRIDIUM 112
16,IRIDIUM 166,IRIDIUM 152
17,IRIDIUM 141,IRIDIUM 160
18,IRIDIUM 150,IRIDIUM 120
19,IRIDIUM 111,IRIDIUM 112
20,IRIDIUM 134,IRIDIUM 112
21,IRIDIUM 129,IRIDIUM 152
22,IRIDIUM 131,IRIDIUM 141
23,IRIDIUM 106,IRIDIUM 103
24,IRIDIUM 132,IRIDIUM 152
25,IRIDIUM 141,IRIDIUM 160
26,IRIDIUM 167,IRIDIUM 152
27,IRIDIUM 106,IRIDIUM 103
28,IRIDIUM 168,IRIDIUM 112
29,IRIDIUM 102,IRIDIUM 141
30,IRIDIUM 150,IRIDIUM 120
31,IRIDIUM 152,IRIDIUM 149
32,IRIDIUM 153,IRIDIUM 149
33,IRIDIUM 167,IRIDIUM 152
34,IRIDIUM 156,IRIDIUM 160
35,IRIDIUM 168,IRIDIUM 112
36,IRIDIUM 129,IRIDIUM 152
37,IRIDIUM 156,IRIDIUM 160
38,IRIDIUM 153,IRIDIUM 149
39,IRIDIUM 156,IRIDIUM 160
40,IRIDIUM 160,IRIDIUM 156
41,IRIDIUM 109,IRIDIUM 152
42,IRIDIUM 102,IRIDIUM 141
43,IRIDIUM 152,IRIDIUM 149
44,IRIDIUM 132,IRIDIUM 152
45,IRIDIUM 132,IRIDIUM 152
46,IRIDIUM 166,IRIDIUM 150
47,IRIDIUM 132,IRIDIUM 152
48,IRIDIUM 132,IRIDIUM 152
49,IRIDIUM 156,IRIDIUM 160
50,IRIDIUM 132,IRIDIUM 152
51,IRIDIUM 111,IRIDIUM 112
52,IRIDIUM 168,IRIDIUM 112
53,IRIDIUM 173,IRIDIUM 168
54,IRIDIUM 152,IRIDIUM 149
55,IRIDIUM 160,IRIDIUM 156
56,IRIDIUM 141,IRIDIUM 160
57,IRIDIUM 106,IRIDIUM 103
58,IRIDIUM 132,IRIDIUM 152
59,IRIDIUM 106,IRIDIUM 103
60,IRIDIUM 173,IRIDIUM 168
61,IRIDIUM 160,IRIDIUM 156
62,IRIDIUM 153,IRIDIUM 149
63,IRIDIUM 153,IRIDIUM 149
64,IRIDIUM 111,IRIDIUM 112
65,IRIDIUM 153,IRIDIUM 149
66,IRIDIUM 109,IRIDIUM 152
67,IRIDIUM 156,IRIDIUM 160
68,IRIDIUM 156,IRIDIUM 160
69,IRIDIUM 141,IRIDIUM 160
70,IRIDIUM 129,IRIDIUM 152
71,IRIDIUM 160,IRIDIUM 156
72,IRIDIUM 102,IRIDIUM 141
73,IRIDIUM 152,IRIDIUM 149
74,IRIDIUM 131,IRIDIUM 141
75,IRIDIUM 168,IRIDIUM 112
76,IRIDIUM 150,IRIDIUM 166
77,IRIDIUM 173,IRIDIUM 168
78,IRIDIUM 150,IRIDIUM 120
79,IRIDIUM 166,IRIDIUM 150
