episode,source,target
1,IRIDIUM 110,IRIDIUM 142
2,IRIDIUM 150,IRIDIUM 120
3,IRIDIUM 136,IRIDIUM 142
4,IRIDIUM 142,IRIDIUM 136
5,IRIDIUM 120,IRIDIUM 126
6,IRIDIUM 157,IRIDIUM 143
7,IRIDIUM 119,IRIDIUM 112
8,IRIDIUM 157,IRIDIUM 143
9,IRIDIUM 119,IRIDIUM 143
10,IRIDIUM 143,IRIDIUM 112
11,IRIDIUM 150,IRIDIUM 120
12,IRIDIUM 119,IRIDIUM 112
13,IRIDIUM 102,IRIDIUM 143
14,IRIDIUM 134,IRIDIUM 142
15,IRIDIUM 120,IRIDIUM 126
16,IRIDIUM 134,IRIDIUM 142
17,IRIDIUM 173,IRIDIUM 112
18,IRIDIUM 150,IRIDIUM 120
19,IRIDIUM 103,IRIDIUM 106
20,IRIDIUM 142,IRIDIUM 136
21,IRIDIUM 134,IRIDIUM 142
22,IRIDIUM 143,IRIDIUM 112
23,IRIDIUM 142,IRIDIUM 143
24,IRIDIUM 103,IRIDIUM 106
25,IRIDIUM 119,IRIDIUM 112
26,IRIDIUM 142,IRIDIUM 136
27,IRIDIUM 142,IRIDIUM 136
28,IRIDIUM 143,IRIDIUM 112
29,IRIDIUM 119,IRIDIUM 112
30,IRIDIUM 120,IRIDIUM 126
31,IRIDIUM 145,IRIDIUM 112
32,IRIDIUM 120,IRIDIUM 126
33,IRIDIUM 150,IRIDIUM 120
34,IRIDIUM 134,IRIDIUM 142
35,IRIDIUM 119,IRIDIUM 112
36,IRIDIUM 145,IRIDIUM 112
37,IRIDIUM 158,IRIDIUM 143
38,IRIDIUM 102,IRIDIUM 143
39,IRIDIUM 134,IRIDIUM 142
40,IRIDIUM 119,IRIDIUM 112
41,IRIDIUM 157,IRIDIUM 143
42,IRIDIUM 143,IRIDIUM 158
43,IRIDIUM 157,IRIDIUM 143
44,IRIDIUM 136,IRIDIUM 142
45,IRIDIUM 150,IRIDIUM 120
46,IRIDIUM 173,IRIDIUM 112
47,IRIDIUM 103,IRIDIUM 106
48,IRIDIUM 158,IRIDIUM 143
49,IRIDIUM 119,IRIDIUM 112
50,IRIDIUM 143,IRIDIUM 158
51,IRIDIUM 150,IRIDIUM 120
52,IRIDIUM 119,IRIDIUM 143
53,IRIDIUM 136,IRIDIUM 142
54,IRIDIUM 134,IRIDIUM 142
55,IRIDIUM 120,IRIDIUM 126
56,IRIDIUM 134,IRIDIUM 142
57,IRIDIUM 150,IRIDIUM 120
58,IRIDIUM 102,IRIDIUM 143
59,IRIDIUM 143,IRIDIUM 158
60,IRIDIUM 142,IRIDIUM 136
61,IRIDIUM 136,IRIDIUM 142
62,IRIDIUM 119,IRIDIUM 143
63,IRIDIUM 119,IRIDIUM 143
64,IRIDIUM 143,IRIDIUM 112
65,IRIDIUM 143,IRIDIUM 158
66,IRIDIUM 150,IRIDIUM 120
67,IRIDIUM 119,IRIDIUM 112
68,IRIDIUM 103,IRIDIUM 106
69,IRIDIUM 103,IRIDIUM 106
70,IRIDIUM 150,IRIDIUM 120
71,IRIDIUM 150,IRIDIUM 120
72,IRIDIUM 143,IRIDIUM 112
73,IRIDIUM 150,IRIDIUM 120
74,IRIDIUM 157,IRIDIUM 143
75,IRIDIUM 120,IRIDIUM 126
76,IRIDIUM 145,IRIDIUM 112
77,IRIDIUM 136,IRIDIUM 142
78,IRIDIUM 120,IRIDIUM 126
79,IRIDIUM 134,IRIDIUM 142
80,IRIDIUM 143,IRIDIUM 112
81,IRIDIUM 134,IRIDIUM 142
82,IRIDIUM 173,IRIDIUM 112
83,IRIDIUM 158,IRIDIUM 143
84,IRIDIUM 145,IRIDIUM 112
85,IRIDIUM 131,IRIDIUM 112
86,IRIDIUM 134,IRIDIUM 142
87,IRIDIUM 102,IRIDIUM 143
88,IRIDIUM 110,IRIDIUM 142
89,IRIDIUM 142,IRIDIUM 143
90,IRIDIUM 102,IRIDIUM 143
91,IRIDIUM 142,IRIDIUM 143
92,IRIDIUM 119,IRIDIUM 112
93,IRIDIUM 136,IRIDIUM 142
94,IRIDIUM 150,IRIDIUM 120
95,IRIDIUM 110,IRIDIUM 142
96,IRIDIUM 142,IRIDIUM 136
97,IRIDIUM 173,IRIDIUM 112
98,IRIDIUM 134,IRIDIUM 142
99,IRIDIUM 120,IRIDIUM 126
100,IRIDIUM 173,IRIDIUM 112
101,IRIDIUM 142,IRIDIUM 143
102,IRIDIUM 143,IRIDIUM 158
103,IRIDIUM 143,IRIDIUM 158
104,IRIDIUM 157,IRIDIUM 143
105,IRIDIUM 142,IRIDIUM 136
106,IRIDIUM 158,IRIDIUM 143
107,IRIDIUM 145,IRIDIUM 112
108,IRIDIUM 150,IRIDIUM 120
109,IRIDIUM 119,IRIDIUM 112
110,IRIDIUM 157,IRIDIUM 143
111,IRIDIUM 173,IRIDIUM 112
112,IRIDIUM 157,IRIDIUM 143
113,IRIDIUM 135,IRIDIUM 120
114,IRIDIUM 110,IRIDIUM 142
115,IRIDIUM 102,IRIDIUM 143
116,IRIDIUM 134,IRIDIUM 142
117,IRIDIUM 102,IRIDIUM 143
118,IRIDIUM 120,IRIDIUM 126
119,IRIDIUM 142,IRIDIUM 136
120,IRIDIUM 120,IRIDIUM 126
121,IRIDIUM 120,IRIDIUM 126
122,IRIDIUM 143,IRIDIUM 158
123,IRIDIUM 103,IRIDIUM 106
124,IRIDIUM 131,IRIDIUM 112
125,IRIDIUM 103,IRIDIUM 106
126,IRIDIUM 142,IRIDIUM 136
127,IRIDIUM 154,IRIDIUM 120
128,IRIDIUM 136,IRIDIUM 142
129,IRIDIUM 136,IRIDIUM 142
130,IRIDIUM 136,IRIDIUM 142
131,IRIDIUM 102,IRIDIUM 143
132,IRIDIUM 145,IRIDIUM 112
133,IRIDIUM 136,IRIDIUM 142
134,IRIDIUM 145,IRIDIUM 112
135,IRIDIUM 135,IRIDIUM 120
136,IRIDIUM 143,IRIDIUM 158
137,IRIDIUM 150,IRIDIUM 120
138,IRIDIUM 142,IRIDIUM 136
139,IRIDIUM 158,IRIDIUM 143
140,IRIDIUM 134,IRIDIUM 142
141,IRIDIUM 143,IRIDIUM 112
142,IRIDIUM 135,IRIDIUM 120
143,IRIDIUM 154,IRIDIUM 120
144,IRIDIUM 157,IRIDIUM 143
145,IRIDIUM 173,IRIDIUM 112
146,IRIDIUM 143,IRIDIUM 158
147,IRIDIUM 135,IRIDIUM 120
148,IRIDIUM 154,IRIDIUM 120
149,IRIDIUM 119,IRIDIUM 112
150,IRIDIUM 142,IRIDIUM 136
151,IRIDIUM 110,IRIDIUM 142
152,IRIDIUM 131,IRIDIUM 112
153,IRIDIUM 119,IRIDIUM 143
154,IRIDIUM 131,IRIDIUM 112
155,IRIDIUM 150,IRIDIUM 120
156,IRIDIUM 142,IRIDIUM 143
157,IRIDIUM 158,IRIDIUM 143
158,IRIDIUM 120,IRIDIUM 126
159,IRIDIUM 136,IRIDIUM 142
160,IRIDIUM 136,IRIDIUM 142
161,IRIDIUM 134,IRIDIUM 142
162,IRIDIUM 120,IRIDIUM 126
163,IRIDIUM 110,IRIDIUM 142
164,IRIDIUM 143,IRIDIUM 112
165,IRIDIUM 102,IRIDIUM 143
166,IRIDIUM 119,IRIDIUM 143
167,IRIDIUM 158,IRIDIUM 143
168,IRIDIUM 143,IRIDIUM 158
169,IRIDIUM 120,IRIDIUM 126
170,IRIDIUM 119,IRIDIUM 143
171,IRIDIUM 135,IRIDIUM 120
172,IRIDIUM 143,IRIDIUM 158
173,IRIDIUM 136,IRIDIUM 142
174,IRIDIUM 145,IRIDIUM 112
175,IRIDIUM 145,IRIDIUM 112
176,IRIDIUM 158,IRIDIUM 143
177,IRIDIUM 158,IRIDIUM 143
178,IRIDIUM 131,IRIDIUM 112
179,IRIDIUM 142,IRIDIUM 136
180,IRIDIUM 136,IRIDIUM 142
181,IRIDIUM 173,IRIDIUM 112
182,IRIDIUM 142,IRIDIUM 136
183,IRIDIUM 134,IRIDIUM 142
184,IRIDIUM 157,IRIDIUM 143
185,IRIDIUM 143,IRIDIUM 112
186,IRIDIUM 119,IRIDIUM 143
187,IRIDIUM 154,IRIDIUM 120
188,IRIDIUM 135,IRIDIUM 120
189,IRIDIUM 103,IRIDIUM 106
190,IRIDIUM 173,IRIDIUM 112
191,IRIDIUM 135,IRIDIUM 120
192,IRIDIUM 120,IRIDIUM 126
193,IRIDIUM 103,IRIDIUM 106
194,IRIDIUM 145,IRIDIUM 112
195,IRIDIUM 136,IRIDIUM 142
196,IRIDIUM 131,IRIDIUM 112
197,IRIDIUM 173,IRIDIUM 112
198,IRIDIUM 135,IRIDIUM 120
199,IRIDIUM 173,IRIDIUM 112
200,IRIDIUM 103,IRIDIUM 106
201,IRIDIUM 136,IRIDIUM 142
202,IRIDIUM 154,IRIDIUM 120
203,IRIDIUM 143,IRIDIUM 112
204,IRIDIUM 158,IRIDIUM 143
205,IRIDIUM 158,IRIDIUM 143
206,IRIDIUM 102,IRIDIUM 143
207,IRIDIUM 103,IRIDIUM 106
208,IRIDIUM 131,IRIDIUM 112
209,IRIDIUM 102,IRIDIUM 143
210,IRIDIUM 143,IRIDIUM 112
211,IRIDIUM 131,IRIDIUM 112
212,IRIDIUM 143,IRIDIUM 158
213,IRIDIUM 102,IRIDIUM 143
214,IRIDIUM 131,IRIDIUM 112
215,IRIDIUM 120,IRIDIUM 126
216,IRIDIUM 145,IRIDIUM 112
217,IRIDIUM 134,IRIDIUM 142
218,IRIDIUM 150,IRIDIUM 120
219,IRIDIUM 136,IRIDIUM 142
220,IRIDIUM 157,IRIDIUM 143
221,IRIDIUM 131,IRIDIUM 112
222,IRIDIUM 119,IRIDIUM 112
223,IRIDIUM 173,IRIDIUM 112
224,IRIDIUM 150,IRIDIUM 120
225,IRIDIUM 145,IRIDIUM 112
226,IRIDIUM 136,IRIDIUM 142
227,IRIDIUM 154,IRIDIUM 120
228,IRIDIUM 154,IRIDIUM 120
229,IRIDIUM 142,IRIDIUM 143
230,IRIDIUM 119,IRIDIUM 143
231,IRIDIUM 110,IRIDIUM 142
232,IRIDIUM 143,IRIDIUM 158
233,IRIDIUM 120,IRIDIUM 126
234,IRIDIUM 135,IRIDIUM 120
235,IRIDIUM 154,IRIDIUM 120
236,IRIDIUM 150,IRIDIUM 120
237,IRIDIUM 135,IRIDIUM 120
238,IRIDIUM 158,IRIDIUM 143
239,IRIDIUM 143,IRIDIUM 112
240,IRIDIUM 173,IRIDIUM 112
241,IRIDIUM 142,IRIDIUM 136
242,IRIDIUM 119,IRIDIUM 143
243,IRIDIUM 136,IRIDIUM 142
244,IRIDIUM 154,IRIDIUM 120
245,IRIDIUM 143,IRIDIUM 112
246,IRIDIUM 110,IRIDIUM 142
247,IRIDIUM 120,IRIDIUM 126
248,IRIDIUM 119,IRIDIUM 143
249,IRIDIUM 150,IRIDIUM 120
250,IRIDIUM 102,IRIDIUM 143
251,IRIDIUM 173,IRIDIUM 112
252,IRIDIUM 136,IRIDIUM 142
253,IRIDIUM 157,IRIDIUM 143
254,IRIDIUM 150,IRIDIUM 120
255,IRIDIUM 119,IRIDIUM 112
256,IRIDIUM 102,IRIDIUM 143
257,IRIDIUM 102,IRIDIUM 143
258,IRIDIUM 158,IRIDIUM 143
259,IRIDIUM 142,IRIDIUM 143
260,IRIDIUM 119,IRIDIUM 112
261,IRIDIUM 119,IRIDIUM 112
262,IRIDIUM 131,IRIDIUM 112
263,IRIDIUM 135,IRIDIUM 120
264,IRIDIUM 131,IRIDIUM 112
265,IRIDIUM 134,IRIDIUM 142
266,IRIDIUM 150,IRIDIUM 120
267,IRIDIUM 173,IRIDIUM 112
268,IRIDIUM 135,IRIDIUM 120
269,IRIDIUM 131,IRIDIUM 112
270,IRIDIUM 145,IRIDIUM 112
271,IRIDIUM 150,IRIDIUM 120
272,IRIDIUM 131,IRIDIUM 112
273,IRIDIUM 157,IRIDIUM 143
274,IRIDIUM 142,IRIDIUM 143
275,IRIDIUM 150,IRIDIUM 120
276,IRIDIUM 131,IRIDIUM 112
277,IRIDIUM 154,IRIDIUM 120
278,IRIDIUM 143,IRIDIUM 158
279,IRIDIUM 134,IRIDIUM 142
280,IRIDIUM 120,IRIDIUM 126
281,IRIDIUM 157,IRIDIUM 143
282,IRIDIUM 173,IRIDIUM 112
283,IRIDIUM 142,IRIDIUM 136
284,IRIDIUM 173,IRIDIUM 112
285,IRIDIUM 120,IRIDIUM 126
286,IRIDIUM 134,IRIDIUM 142
287,IRIDIUM 173,IRIDIUM 112
288,IRIDIUM 134,IRIDIUM 142
289,IRIDIUM 119,IRIDIUM 112
290,IRIDIUM 142,IRIDIUM 136
291,IRIDIUM 150,IRIDIUM 120
292,IRIDIUM 119,IRIDIUM 143
293,IRIDIUM 119,IRIDIUM 112
294,IRIDIUM 142,IRIDIUM 136
295,IRIDIUM 173,IRIDIUM 112
296,IRIDIUM 143,IRIDIUM 112
297,IRIDIUM 142,IRIDIUM 136
298,IRIDIUM 157,IRIDIUM 143
299,IRIDIUM 145,IRIDIUM 112
300,IRIDIUM 143,IRIDIUM 158
