episode,source,target
1,IRIDIUM 120,IRIDIUM 150
2,IRIDIUM 144,IRIDIUM 150
3,IRIDIUM 171,IRIDIUM 106
4,IRIDIUM 151,IRIDIUM 106
5,IRIDIUM 129,IRIDIUM 106
6,IRIDIUM 120,IRIDIUM 150
7,IRIDIUM 143,IRIDIUM 130
8,IRIDIUM 171,IRIDIUM 150
9,IRIDIUM 134,IRIDIUM 130
10,IRIDIUM 171,IRIDIUM 106
11,IRIDIUM 160,IRIDIUM 136
12,IRIDIUM 144,IRIDIUM 150
13,IRIDIUM 120,IRIDIUM 126
14,IRIDIUM 168,IRIDIUM 157
15,IRIDIUM 134,IRIDIUM 130
16,IRIDIUM 136,IRIDIUM 160
17,IRIDIUM 160,IRIDIUM 136
18,IRIDIUM 100,IRIDIUM 165
19,IRIDIUM 144,IRIDIUM 150
20,IRIDIUM 129,IRIDIUM 106
21,IRIDIUM 129,IRIDIUM 106
22,IRIDIUM 165,IRIDIUM 154
23,IRIDIUM 165,IRIDIUM 154
24,IRIDIUM 136,IRIDIUM 160
25,IRIDIUM 151,IRIDIUM 106
26,IRIDIUM 120,IRIDIUM 150
27,IRIDIUM 103,IRIDIUM 106
28,IRIDIUM 143,IRIDIUM 130
29,IRIDIUM 126,IRIDIUM 100
30,IRIDIUM 103,IRIDIUM 106
31,IRIDIUM 173,IRIDIUM 168
32,IRIDIUM 151,IRIDIUM 106
33,IRIDIUM 126,IRIDIUM 100
34,IRIDIUM 130,IRIDIUM 168
35,IRIDIUM 171,IRIDIUM 106
36,IRIDIUM 120,IRIDIUM 126
37,IRIDIUM 173,IRIDIUM 168
38,IRIDIUM 136,IRIDIUM 160
39,IRIDIUM 126,IRIDIUM 100
40,IRIDIUM 173,IRIDIUM 160
41,IRIDIUM 144,IRIDIUM 150
42,IRIDIUM 129,IRIDIUM 106
43,IRIDIUM 171,IRIDIUM 150
44,IRIDIUM 173,IRIDIUM 160
45,IRIDIUM 126,IRIDIUM 100
46,IRIDIUM 130,IRIDIUM 168
47,IRIDIUM 151,IRIDIUM 106
48,IRIDIUM 143,IRIDIUM 130
49,IRIDIUM 171,IRIDIUM 106
50,IRIDIUM 130,IRIDIUM 168
51,IRIDIUM 100,IRIDIUM 165
52,IRIDIUM 165,IRIDIUM 154
53,IRIDIUM 168,IRIDIUM 157
54,IRIDIUM 144,IRIDIUM 150
55,IRIDIUM 144,IRIDIUM 150
56,IRIDIUM 130,IRIDIUM 143
57,IRIDIUM 126,IRIDIUM 100
58,IRIDIUM 136,IRIDIUM 160
59,IRIDIUM 129,IRIDIUM 106
60,IRIDIUM 130,IRIDIUM 168
61,IRIDIUM 120,IRIDIUM 126
62,IRIDIUM 173,IRIDIUM 168
63,IRIDIUM 136,IRIDIUM 160
64,IRIDIUM 100,IRIDIUM 165
65,IRIDIUM 173,IRIDIUM 160
66,IRIDIUM 151,IRIDIUM 106
67,IRIDIUM 120,IRIDIUM 150
68,IRIDIUM 120,IRIDIUM 150
69,IRIDIUM 160,IRIDIUM 136
70,IRIDIUM 143,IRIDIUM 130
71,IRIDIUM 160,IRIDIUM 136
72,IRIDIUM 120,IRIDIUM 150
73,IRIDIUM 129,IRIDIUM 106
74,IRIDIUM 173,IRIDIUM 160
75,IRIDIUM 120,IRIDIUM 150
76,IRIDIUM 144,IRIDIUM 150
77,IRIDIUM 129,IRIDIUM 106
78,IRIDIUM 120,IRIDIUM 150
79,IRIDIUM 130,IRIDIUM 143
80,IRIDIUM 171,IRIDIUM 106
81,IRIDIUM 134,IRIDIUM 130
82,IRIDIUM 134,IRIDIUM 130
83,IRIDIUM 120,IRIDIUM 126
84,IRIDIUM 143,IRIDIUM 130
85,IRIDIUM 160,IRIDIUM 136
86,IRIDIUM 120,IRIDIUM 126
87,IRIDIUM 173,IRIDIUM 160
88,IRIDIUM 151,IRIDIUM 106
89,IRIDIUM 103,IRIDIUM 106
90,IRIDIUM 171,IRIDIUM 106
91,IRIDIUM 129,IRIDIUM 106
92,IRIDIUM 136,IRIDIUM 160
93,IRIDIUM 173,IRIDIUM 160
94,IRIDIUM 165,IRIDIUM 154
95,IRIDIUM 129,IRIDIUM 106
96,IRIDIUM 130,IRIDIUM 168
97,IRIDIUM 168,IRIDIUM 157
98,IRIDIUM 126,IRIDIUM 100
99,IRIDIUM 160,IRIDIUM 136
100,IRIDIUM 173,IRIDIUM 160
101,IRIDIUM 120,IRIDIUM 126
102,IRIDIUM 173,IRIDIUM 168
103,IRIDIUM 165,IRIDIUM 154
104,IRIDIUM 143,IRIDIUM 130
105,IRIDIUM 129,IRIDIUM 106
106,IRIDIUM 160,IRIDIUM 136
107,IRIDIUM 129,IRIDIUM 106
108,IRIDIUM 134,IRIDIUM 130
109,IRIDIUM 151,IRIDIUM 106
110,IRIDIUM 120,IRIDIUM 126
111,IRIDIUM 126,IRIDIUM 100
112,IRIDIUM 103,IRIDIUM 106
113,IRIDIUM 165,IRIDIUM 154
114,IRIDIUM 120,IRIDIUM 126
115,IRIDIUM 160,IRIDIUM 136
116,IRIDIUM 100,IRIDIUM 165
117,IRIDIUM 129,IRIDIUM 106
118,IRIDIUM 160,IRIDIUM 136
119,IRIDIUM 103,IRIDIUM 106
120,IRIDIUM 151,IRIDIUM 106
121,IRIDIUM 100,IRIDIUM 165
122,IRIDIUM 160,IRIDIUM 136
123,IRIDIUM 168,IRIDIUM 157
124,IRIDIUM 168,IRIDIUM 157
125,IRIDIUM 126,IRIDIUM 100
126,IRIDIUM 160,IRIDIUM 136
127,IRIDIUM 103,IRIDIUM 106
128,IRIDIUM 171,IRIDIUM 150
129,IRIDIUM 136,IRIDIUM 160
130,IRIDIUM 130,IRIDIUM 143
131,IRIDIUM 130,IRIDIUM 168
132,IRIDIUM 130,IRIDIUM 168
133,IRIDIUM 171,IRIDIUM 150
134,IRIDIUM 120,IRIDIUM 150
135,IRIDIUM 165,IRIDIUM 154
136,IRIDIUM 171,IRIDIUM 150
137,IRIDIUM 168,IRIDIUM 157
138,IRIDIUM 103,IRIDIUM 106
139,IRIDIUM 126,IRIDIUM 100
140,IRIDIUM 130,IRIDIUM 143
141,IRIDIUM 171,IRIDIUM 150
142,IRIDIUM 144,IRIDIUM 150
143,IRIDIUM 144,IRIDIUM 150
144,IRIDIUM 130,IRIDIUM 143
145,IRIDIUM 103,IRIDIUM 106
146,IRIDIUM 129,IRIDIUM 106
147,IRIDIUM 103,IRIDIUM 106
148,IRIDIUM 134,IRIDIUM 130
149,IRIDIUM 171,IRIDIUM 150
150,IRIDIUM 173,IRIDIUM 160
151,IRIDIUM 134,IRIDIUM 130
152,IRIDIUM 151,IRIDIUM 106
153,IRIDIUM 130,IRIDIUM 143
154,IRIDIUM 134,IRIDIUM 130
155,IRIDIUM 144,IRIDIUM 150
156,IRIDIUM 165,IRIDIUM 154
157,IRIDIUM 151,IRIDIUM 106
158,IRIDIUM 171,IRIDIUM 106
159,IRIDIUM 144,IRIDIUM 150
160,IRIDIUM 173,IRIDIUM 160
161,IRIDIUM 120,IRIDIUM 150
162,IRIDIUM 130,IRIDIUM 168
163,IRIDIUM 129,IRIDIUM 106
164,IRIDIUM 100,IRIDIUM 165
165,IRIDIUM 173,IRIDIUM 160
166,IRIDIUM 165,IRIDIUM 154
167,IRIDIUM 168,IRIDIUM 157
168,IRIDIUM 151,IRIDIUM 106
169,IRIDIUM 171,IRIDIUM 150
170,IRIDIUM 134,IRIDIUM 130
171,IRIDIUM 171,IRIDIUM 106
172,IRIDIUM 129,IRIDIUM 106
173,IRIDIUM 134,IRIDIUM 130
174,IRIDIUM 120,IRIDIUM 126
175,IRIDIUM 126,IRIDIUM 100
176,IRIDIUM 171,IRIDIUM 106
177,IRIDIUM 173,IRIDIUM 160
178,IRIDIUM 165,IRIDIUM 154
179,IRIDIUM 151,IRIDIUM 106
180,IRIDIUM 120,IRIDIUM 126
181,IRIDIUM 165,IRIDIUM 154
182,IRIDIUM 160,IRIDIUM 136
183,IRIDIUM 168,IRIDIUM 157
184,IRIDIUM 100,IRIDIUM 165
185,IRIDIUM 120,IRIDIUM 150
186,IRIDIUM 126,IRIDIUM 100
187,IRIDIUM 120,IRIDIUM 150
188,IRIDIUM 134,IRIDIUM 130
189,IRIDIUM 130,IRIDIUM 168
190,IRIDIUM 130,IRIDIUM 168
191,IRIDIUM 136,IRIDIUM 160
192,IRIDIUM 151,IRIDIUM 106
193,IRIDIUM 143,IRIDIUM 130
194,IRIDIUM 173,IRIDIUM 160
195,IRIDIUM 130,IRIDIUM 143
196,IRIDIUM 144,IRIDIUM 150
197,IRIDIUM 120,IRIDIUM 126
198,IRIDIUM 144,IRIDIUM 150
199,IRIDIUM 168,IRIDIUM 157
200,IRIDIUM 130,IRIDIUM 168
201,IRIDIUM 130,IRIDIUM 143
202,IRIDIUM 136,IRIDIUM 160
203,IRIDIUM 160,IRIDIUM 136
204,IRIDIUM 126,IRIDIUM 100
205,IRIDIUM 129,IRIDIUM 106
206,IRIDIUM 126,IRIDIUM 100
207,IRIDIUM 126,IRIDIUM 100
208,IRIDIUM 160,IRIDIUM 136
209,IRIDIUM 144,IRIDIUM 150
210,IRIDIUM 126,IRIDIUM 100
211,IRIDIUM 144,IRIDIUM 150
212,IRIDIUM 151,IRIDIUM 106
213,IRIDIUM 130,IRIDIUM 143
214,IRIDIUM 136,IRIDIUM 160
215,IRIDIUM 168,IRIDIUM 157
216,IRIDIUM 173,IRIDIUM 160
217,IRIDIUM 103,IRIDIUM 106
218,IRIDIUM 126,IRIDIUM 100
219,IRIDIUM 143,IRIDIUM 130
220,IRIDIUM 151,IRIDIUM 106
