episode,source,target
1,IRIDIUM 135,IRIDIUM 152
2,IRIDIUM 171,IRIDIUM 152
3,IRIDIUM 143,IRIDIUM 157
4,IRIDIUM 120,IRIDIUM 149
5,IRIDIUM 160,IRIDIUM 141
6,IRIDIUM 156,IRIDIUM 160
7,IRIDIUM 135,IRIDIUM 152
8,IRIDIUM 103,IRIDIUM 106
9,IRIDIUM 168,IRIDIUM 112
10,IRIDIUM 143,IRIDIUM 157
11,IRIDIUM 160,IRIDIUM 141
12,IRIDIUM 120,IRIDIUM 149
13,IRIDIUM 131,IRIDIUM 141
14,IRIDIUM 120,IRIDIUM 149
15,IRIDIUM 143,IRIDIUM 157
16,IRIDIUM 102,IRIDIUM 141
17,IRIDIUM 111,IRIDIUM 112
18,IRIDIUM 102,IRIDIUM 141
19,IRIDIUM 160,IRIDIUM 141
20,IRIDIUM 129,IRIDIUM 152
21,IRIDIUM 160,IRIDIUM 141
22,IRIDIUM 134,IRIDIUM 112
23,IRIDIUM 167,IRIDIUM 152
24,IRIDIUM 171,IRIDIUM 152
25,IRIDIUM 132,IRIDIUM 150
26,IRIDIUM 106,IRIDIUM 103
27,IRIDIUM 132,IRIDIUM 150
28,IRIDIUM 135,IRIDIUM 152
29,IRIDIUM 171,IRIDIUM 152
30,IRIDIUM 134,IRIDIUM 112
31,IRIDIUM 132,IRIDIUM 150
32,IRIDIUM 102,IRIDIUM 141
33,IRIDIUM 109,IRIDIUM 152
34,IRIDIUM 129,IRIDIUM 152
35,IRIDIUM 120,IRIDIUM 149
36,IRIDIUM 171,IRIDIUM 152
37,IRIDIUM 103,IRIDIUM 106
38,IRIDIUM 143,IRIDIUM 157
39,IRIDIUM 156,IRIDIUM 160
40,IRIDIUM 134,IRIDIUM 112
41,IRIDIUM 171,IRIDIUM 152
42,IRIDIUM 156,IRIDIUM 160
43,IRIDIUM 106,IRIDIUM 103
44,IRIDIUM 149,IRIDIUM 135
45,IRIDIUM 120,IRIDIUM 149
46,IRIDIUM 120,IRIDIUM 149
47,IRIDIUM 106,IRIDIUM 103
48,IRIDIUM 111,IRIDIUM 112
49,IRIDIUM 120,IRIDIUM 149
50,IRIDIUM 134,IRIDIUM 112
51,IRIDIUM 156,IRIDIUM 160
52,IRIDIUM 160,IRIDIUM 141
53,IRIDIUM 171,IRIDIUM 152
54,IRIDIUM 131,IRIDIUM 141
55,IRIDIUM 143,IRIDIUM 157
56,IRIDIUM 109,IRIDIUM 152
57,IRIDIUM 129,IRIDIUM 152
58,IRIDIUM 120,IRIDIUM 149
59,IRIDIUM 129,IRIDIUM 152
60,IRIDIUM 132,IRIDIUM 150
61,IRIDIUM 106,IRIDIUM 103
62,IRIDIUM 120,IRIDIUM 149
63,IRIDIUM 160,IRIDIUM 141
64,IRIDIUM 102,IRIDIUM 141
65,IRIDIUM 149,IRIDIUM 135
66,IRIDIUM 111,IRIDIUM 112
67,IRIDIUM 131,IRIDIUM 141
68,IRIDIUM 151,IRIDIUM 152
69,IRIDIUM 135,IRIDIUM 152
70,IRIDIUM 103,IRIDIUM 106
71,IRIDIUM 134,IRIDIUM 112
72,IRIDIUM 106,IRIDIUM 103
73,IRIDIUM 131,IRIDIUM 141
74,IRIDIUM 156,IRIDIUM 160
75,IRIDIUM 135,IRIDIUM 149
76,IRIDIUM 109,IRIDIUM 152
77,IRIDIUM 132,IRIDIUM 150
78,IRIDIUM 102,IRIDIUM 141
79,IRIDIUM 103,IRIDIUM 106
80,IRIDIUM 135,IRIDIUM 149
81,IRIDIUM 102,IRIDIUM 141
82,IRIDIUM 120,IRIDIUM 149
83,IRIDIUM 103,IRIDIUM 106
84,IRIDIUM 156,IRIDIUM 160
85,IRIDIUM 129,IRIDIUM 152
86,IRIDIUM 156,IRIDIUM 160
87,IRIDIUM 129,IRIDIUM 152
88,IRIDIUM 143,IRIDIUM 157
89,IRIDIUM 149,IRIDIUM 135
90,IRIDIUM 135,IRIDIUM 152
91,IRIDIUM 109,IRIDIUM 152
92,IRIDIUM 156,IRIDIUM 160
93,IRIDIUM 160,IRIDIUM 141
94,IRIDIUM 168,IRIDIUM 112
95,IRIDIUM 168,IRIDIUM 112
96,IRIDIUM 171,IRIDIUM 152
97,IRIDIUM 129,IRIDIUM 152
98,IRIDIUM 103,IRIDIUM 106
99,IRIDIUM 149,IRIDIUM 135
100,IRIDIUM 134,IRIDIUM 112
101,IRIDIUM 129,IRIDIUM 152
102,IRIDIUM 167,IRIDIUM 152
103,IRIDIUM 120,IRIDIUM 149
104,IRIDIUM 151,IRIDIUM 152
105,IRIDIUM 167,IRIDIUM 152
106,IRIDIUM 109,IRIDIUM 152
107,IRIDIUM 103,IRIDIUM 106
108,IRIDIUM 102,IRIDIUM 141
109,IRIDIUM 143,IRIDIUM 157
110,IRIDIUM 143,IRIDIUM 157
111,IRIDIUM 132,IRIDIUM 150
112,IRIDIUM 151,IRIDIUM 152
113,IRIDIUM 131,IRIDIUM 141
114,IRIDIUM 151,IRIDIUM 152
115,IRIDIUM 135,IRIDIUM 152
116,IRIDIUM 160,IRIDIUM 141
117,IRIDIUM 120,IRIDIUM 149
118,IRIDIUM 111,IRIDIUM 112
119,IRIDIUM 120,IRIDIUM 149
120,IRIDIUM 131,IRIDIUM 141
121,IRIDIUM 168,IRIDIUM 112
122,IRIDIUM 132,IRIDIUM 150
123,IRIDIUM 109,IRIDIUM 152
124,IRIDIUM 109,IRIDIUM 152
125,IRIDIUM 109,IRIDIUM 152
126,IRIDIUM 171,IRIDIUM 152
127,IRIDIUM 168,IRIDIUM 112
128,IRIDIUM 167,IRIDIUM 152
129,IRIDIUM 129,IRIDIUM 152
130,IRIDIUM 156,IRIDIUM 160
131,IRIDIUM 129,IRIDIUM 152
132,IRIDIUM 149,IRIDIUM 135
133,IRIDIUM 120,IRIDIUM 149
134,IRIDIUM 168,IRIDIUM 112
135,IRIDIUM 160,IRIDIUM 141
136,IRIDIUM 120,IRIDIUM 149
