episode,source,target
1,IRIDIUM 152,IRIDIUM 166
2,IRIDIUM 143,IRIDIUM 112
3,IRIDIUM 166,IRIDIUM 152
4,IRIDIUM 152,IRIDIUM 129
5,IRIDIUM 112,IRIDIUM 141
6,IRIDIUM 129,IRIDIUM 152
7,IRIDIUM 111,IRIDIUM 112
8,IRIDIUM 111,IRIDIUM 112
9,IRIDIUM 156,IRIDIUM 112
10,IRIDIUM 152,IRIDIUM 171
11,IRIDIUM 166,IRIDIUM 152
12,IRIDIUM 168,IRIDIUM 173
13,IRIDIUM 134,IRIDIUM 112
14,IRIDIUM 168,IRIDIUM 173
15,IRIDIUM 152,IRIDIUM 166
16,IRIDIUM 168,IRIDIUM 173
17,IRIDIUM 168,IRIDIUM 112
18,IRIDIUM 168,IRIDIUM 173
19,IRIDIUM 143,IRIDIUM 112
20,IRIDIUM 129,IRIDIUM 152
21,IRIDIUM 135,IRIDIUM 149
22,IRIDIUM 152,IRIDIUM 171
23,IRIDIUM 112,IRIDIUM 141
24,IRIDIUM 129,IRIDIUM 152
25,IRIDIUM 111,IRIDIUM 112
26,IRIDIUM 134,IRIDIUM 112
27,IRIDIUM 173,IRIDIUM 141
28,IRIDIUM 152,IRIDIUM 171
29,IRIDIUM 134,IRIDIUM 112
30,IRIDIUM 152,IRIDIUM 166
31,IRIDIUM 173,IRIDIUM 141
32,IRIDIUM 152,IRIDIUM 129
33,IRIDIUM 173,IRIDIUM 141
34,IRIDIUM 153,IRIDIUM 149
35,IRIDIUM 152,IRIDIUM 129
36,IRIDIUM 173,IRIDIUM 141
37,IRIDIUM 120,IRIDIUM 150
38,IRIDIUM 134,IRIDIUM 112
39,IRIDIUM 112,IRIDIUM 141
40,IRIDIUM 173,IRIDIUM 141
41,IRIDIUM 168,IRIDIUM 173
42,IRIDIUM 166,IRIDIUM 152
43,IRIDIUM 166,IRIDIUM 152
44,IRIDIUM 129,IRIDIUM 152
45,IRIDIUM 153,IRIDIUM 149
46,IRIDIUM 112,IRIDIUM 141
47,IRIDIUM 111,IRIDIUM 112
48,IRIDIUM 173,IRIDIUM 141
49,IRIDIUM 135,IRIDIUM 149
50,IRIDIUM 152,IRIDIUM 129
51,IRIDIUM 120,IRIDIUM 150
52,IRIDIUM 152,IRIDIUM 171
53,IRIDIUM 120,IRIDIUM 150
54,IRIDIUM 171,IRIDIUM 149
55,IRIDIUM 112,IRIDIUM 141
56,IRIDIUM 152,IRIDIUM 129
57,IRIDIUM 156,IRIDIUM 112
58,IRIDIUM 166,IRIDIUM 152
59,IRIDIUM 111,IRIDIUM 112
60,IRIDIUM 112,IRIDIUM 141
61,IRIDIUM 103,IRIDIUM 150
62,IRIDIUM 143,IRIDIUM 112
63,IRIDIUM 143,IRIDIUM 112
64,IRIDIUM 168,IRIDIUM 112
65,IRIDIUM 103,IRIDIUM 150
66,IRIDIUM 167,IRIDIUM 152
67,IRIDIUM 152,IRIDIUM 129
68,IRIDIUM 134,IRIDIUM 112
69,IRIDIUM 143,IRIDIUM 112
70,IRIDIUM 168,IRIDIUM 173
71,IRIDIUM 152,IRIDIUM 129
72,IRIDIUM 120,IRIDIUM 150
73,IRIDIUM 112,IRIDIUM 141
74,IRIDIUM 135,IRIDIUM 149
75,IRIDIUM 143,IRIDIUM 112
76,IRIDIUM 153,IRIDIUM 149
77,IRIDIUM 143,IRIDIUM 112
78,IRIDIUM 152,IRIDIUM 129
79,IRIDIUM 134,IRIDIUM 112
80,IRIDIUM 103,IRIDIUM 150
81,IRIDIUM 152,IRIDIUM 171
82,IRIDIUM 120,IRIDIUM 150
83,IRIDIUM 129,IRIDIUM 152
84,IRIDIUM 168,IRIDIUM 173
85,IRIDIUM 166,IRIDIUM 152
86,IRIDIUM 171,IRIDIUM 149
87,IRIDIUM 166,IRIDIUM 152
88,IRIDIUM 120,IRIDIUM 150
89,IRIDIUM 173,IRIDIUM 141
90,IRIDIUM 134,IRIDIUM 112
91,IRIDIUM 143,IRIDIUM 112
92,IRIDIUM 129,IRIDIUM 152
93,IRIDIUM 173,IRIDIUM 141
94,IRIDIUM 168,IRIDIUM 173
95,IRIDIUM 129,IRIDIUM 152
96,IRIDIUM 103,IRIDIUM 150
97,IRIDIUM 103,IRIDIUM 150
98,IRIDIUM 173,IRIDIUM 141
99,IRIDIUM 129,IRIDIUM 152
100,IRIDIUM 166,IRIDIUM 152
101,IRIDIUM 167,IRIDIUM 152
102,IRIDIUM 144,IRIDIUM 152
103,IRIDIUM 134,IRIDIUM 112
