episode,source,target
1,IRIDIUM 104,IRIDIUM 102
2,IRIDIUM 120,IRIDIUM 110
3,IRIDIUM 168,IRIDIUM 102
4,IRIDIUM 133,IRIDIUM 110
5,IRIDIUM 143,IRIDIUM 102
6,IRIDIUM 102,IRIDIUM 145
7,IRIDIUM 168,IRIDIUM 123
8,IRIDIUM 118,IRIDIUM 110
9,IRIDIUM 168,IRIDIUM 102
10,IRIDIUM 168,IRIDIUM 102
11,IRIDIUM 123,IRIDIUM 114
12,IRIDIUM 143,IRIDIUM 102
13,IRIDIUM 120,IRIDIUM 110
14,IRIDIUM 118,IRIDIUM 110
15,IRIDIUM 163,IRIDIUM 102
16,IRIDIUM 112,IRIDIUM 145
17,IRIDIUM 104,IRIDIUM 102
18,IRIDIUM 121,IRIDIUM 110
19,IRIDIUM 110,IRIDIUM 152
20,IRIDIUM 159,IRIDIUM 145
21,IRIDIUM 104,IRIDIUM 102
22,IRIDIUM 123,IRIDIUM 168
23,IRIDIUM 168,IRIDIUM 123
24,IRIDIUM 146,IRIDIUM 110
25,IRIDIUM 163,IRIDIUM 102
26,IRIDIUM 112,IRIDIUM 114
27,IRIDIUM 133,IRIDIUM 110
28,IRIDIUM 159,IRIDIUM 145
29,IRIDIUM 110,IRIDIUM 152
30,IRIDIUM 164,IRIDIUM 144
31,IRIDIUM 163,IRIDIUM 102
32,IRIDIUM 122,IRIDIUM 145
33,IRIDIUM 104,IRIDIUM 102
34,IRIDIUM 163,IRIDIUM 102
35,IRIDIUM 104,IRIDIUM 102
36,IRIDIUM 143,IRIDIUM 102
37,IRIDIUM 123,IRIDIUM 168
38,IRIDIUM 143,IRIDIUM 102
39,IRIDIUM 152,IRIDIUM 110
40,IRIDIUM 146,IRIDIUM 110
41,IRIDIUM 104,IRIDIUM 102
42,IRIDIUM 118,IRIDIUM 110
43,IRIDIUM 168,IRIDIUM 123
44,IRIDIUM 102,IRIDIUM 145
45,IRIDIUM 112,IRIDIUM 114
46,IRIDIUM 120,IRIDIUM 110
47,IRIDIUM 164,IRIDIUM 144
48,IRIDIUM 110,IRIDIUM 152
49,IRIDIUM 120,IRIDIUM 110
50,IRIDIUM 163,IRIDIUM 102
51,IRIDIUM 146,IRIDIUM 110
52,IRIDIUM 112,IRIDIUM 145
53,IRIDIUM 121,IRIDIUM 110
54,IRIDIUM 110,IRIDIUM 152
55,IRIDIUM 152,IRIDIUM 110
56,IRIDIUM 112,IRIDIUM 114
57,IRIDIUM 123,IRIDIUM 114
58,IRIDIUM 118,IRIDIUM 110
59,IRIDIUM 164,IRIDIUM 144
60,IRIDIUM 133,IRIDIUM 110
61,IRIDIUM 168,IRIDIUM 102
62,IRIDIUM 112,IRIDIUM 114
63,IRIDIUM 133,IRIDIUM 110
64,IRIDIUM 123,IRIDIUM 114
65,IRIDIUM 104,IRIDIUM 102
66,IRIDIUM 133,IRIDIUM 110
67,IRIDIUM 123,IRIDIUM 114
68,IRIDIUM 168,IRIDIUM 123
69,IRIDIUM 102,IRIDIUM 145
70,IRIDIUM 122,IRIDIUM 145
71,IRIDIUM 123,IRIDIUM 114
72,IRIDIUM 122,IRIDIUM 145
73,IRIDIUM 112,IRIDIUM 145
74,IRIDIUM 112,IRIDIUM 114
75,IRIDIUM 121,IRIDIUM 110
76,IRIDIUM 120,IRIDIUM 110
77,IRIDIUM 159,IRIDIUM 145
78,IRIDIUM 110,IRIDIUM 152
79,IRIDIUM 164,IRIDIUM 144
80,IRIDIUM 122,IRIDIUM 145
81,IRIDIUM 146,IRIDIUM 110
82,IRIDIUM 102,IRIDIUM 145
83,IRIDIUM 110,IRIDIUM 152
84,IRIDIUM 168,IRIDIUM 102
85,IRIDIUM 104,IRIDIUM 102
86,IRIDIUM 159,IRIDIUM 145
87,IRIDIUM 152,IRIDIUM 110
88,IRIDIUM 123,IRIDIUM 168
89,IRIDIUM 146,IRIDIUM 110
90,IRIDIUM 123,IRIDIUM 168
91,IRIDIUM 118,IRIDIUM 110
