episode,source,target
1,STARLINK-5031,STARLINK-4771
2,STARLINK-11561 [DTC],STARLINK-35285
3,STARLINK-36361,STARLINK-5921
4,STARLINK-5913,STARLINK-3295
5,STARLINK-3055,STARLINK-6250
6,STARLINK-31606,STARLINK-35079
7,STARLINK-35704,STARLINK-36754
8,STARLINK-35783,STARLINK-32857
9,STARLINK-33949,STARLINK-36051
10,STARLINK-5127,STARLINK-30526
11,STARLINK-35207,STARLINK-33721
12,STARLINK-30130,STARLINK-6319
13,STARLINK-33762,STARLINK-1558
14,STARLINK-30702,STARLINK-5522
15,STARLINK-4772,STARLINK-5384
16,STARLINK-2015,STARLINK-35514
17,STARLINK-5946,STARLINK-5964
18,STARLINK-11445 [DTC],STARLINK-35836
19,STARLINK-2563,STARLINK-11636 [DTC]
20,STARLINK-31107,STARLINK-35482
21,STARLINK-35598,STARLINK-2575
22,STARLINK-36744,STARLINK-3193
23,STARLINK-4148,STARLINK-34059
24,STARLINK-2106,STARLINK-2065
25,STARLINK-4583,STARLINK-30299
26,STARLINK-34369,STARLINK-31317
27,STARLINK-4662,STARLINK-31540
28,STARLINK-34944,STARLINK-5739
29,STARLINK-30233,STARLINK-35625
30,STARLINK-1494,STARLINK-31483
31,STARLINK-34044,STARLINK-11723 [DTC]
32,STARLINK-4094,STARLINK-34552
33,STARLINK-35704,STARLINK-11078 [DTC]
34,STARLINK-37119,STARLINK-6204
35,STARLINK-34127,STARLINK-37086
36,STARLINK-4358,STARLINK-34384
37,STARLINK-4655,STARLINK-32179
38,STARLINK-4138,STARLINK-4119
39,STARLINK-35205,STARLINK-30244
40,STARLINK-37103,STARLINK-30251
41,STARLINK-31203,STARLINK-36453
42,STARLINK-5791,STARLINK-33860
43,STARLINK-33814,STARLINK-11103 [DTC]
44,STARLINK-5497,STARLINK-3145
45,STARLINK-36033,STARLINK-35044
46,STARLINK-6343,STARLINK-35231
47,STARLINK-11241 [DTC],STARLINK-5520
48,STARLINK-1230,STARLINK-1417
49,STARLINK-4044,STARLINK-36353
50,STARLINK-4531,STARLINK-35967
51,STARLINK-5675,STARLINK-4054
52,STARLINK-35323,STARLINK-3843
53,STARLINK-4077,STARLINK-31201
54,STARLINK-30561,STARLINK-32608
55,STARLINK-32089,STARLINK-31568
56,STARLINK-34675,STARLINK-3057
57,STARLINK-4326,STARLINK-5226
58,STARLINK-2675,STARLINK-32435
59,STARLINK-32575,STARLINK-11560 [DTC]
60,STARLINK-34021,STARLINK-4214
61,STARLINK-4269,STARLINK-2701
62,STARLINK-1522,STARLINK-5101
63,STARLINK-5945,STARLINK-11398 [DTC]
64,STARLINK-32490,STARLINK-34233
65,STARLINK-31436,STARLINK-35889
66,STARLINK-4184,STARLINK-30915
67,STARLINK-11366 [DTC],STARLINK-5071
68,STARLINK-4483,STARLINK-34284
69,STARLINK-33621,STARLINK-36318
70,STARLINK-34464,STARLINK-30387
71,STARLINK-32882,STARLINK-36424
