episode,source,target
1,IRIDIUM 165,IRIDIUM 154
2,IRIDIUM 168,IRIDIUM 136
3,IRIDIUM 100,IRIDIUM 120
4,IRIDIUM 160,IRIDIUM 143
5,IRIDIUM 157,IRIDIUM 168
6,IRIDIUM 160,IRIDIUM 168
7,IRIDIUM 100,IRIDIUM 120
8,IRIDIUM 157,IRIDIUM 168
9,IRIDIUM 136,IRIDIUM 168
10,IRIDIUM 165,IRIDIUM 154
11,IRIDIUM 100,IRIDIUM 165
12,IRIDIUM 134,IRIDIUM 130
13,IRIDIUM 100,IRIDIUM 120
14,IRIDIUM 151,IRIDIUM 106
15,IRIDIUM 160,IRIDIUM 168
16,IRIDIUM 165,IRIDIUM 154
17,IRIDIUM 168,IRIDIUM 136
18,IRIDIUM 126,IRIDIUM 120
19,IRIDIUM 173,IRIDIUM 168
20,IRIDIUM 126,IRIDIUM 120
21,IRIDIUM 134,IRIDIUM 130
22,IRIDIUM 168,IRIDIUM 136
23,IRIDIUM 151,IRIDIUM 106
24,IRIDIUM 119,IRIDIUM 110
25,IRIDIUM 150,IRIDIUM 120
26,IRIDIUM 160,IRIDIUM 168
27,IRIDIUM 100,IRIDIUM 165
28,IRIDIUM 100,IRIDIUM 165
29,IRIDIUM 102,IRIDIUM 143
30,IRIDIUM 165,IRIDIUM 154
31,IRIDIUM 154,IRIDIUM 106
32,IRIDIUM 157,IRIDIUM 168
33,IRIDIUM 100,IRIDIUM 165
34,IRIDIUM 136,IRIDIUM 168
35,IRIDIUM 134,IRIDIUM 130
36,IRIDIUM 154,IRIDIUM 106
37,IRIDIUM 100,IRIDIUM 165
38,IRIDIUM 100,IRIDIUM 165
39,IRIDIUM 151,IRIDIUM 106
40,IRIDIUM 151,IRIDIUM 106
41,IRIDIUM 165,IRIDIUM 106
42,IRIDIUM 150,IRIDIUM 120
43,IRIDIUM 165,IRIDIUM 106
44,IRIDIUM 126,IRIDIUM 120
45,IRIDIUM 165,IRIDIUM 100
46,IRIDIUM 150,IRIDIUM 120
47,IRIDIUM 171,IRIDIUM 106
