episode,source,target
1,IRIDIUM 138,IRIDIUM 171
2,IRIDIUM 160,IRIDIUM 163
3,IRIDIUM 134,IRIDIUM 123
4,IRIDIUM 163,IRIDIUM 134
5,IRIDIUM 102,IRIDIUM 163
6,IRIDIUM 138,IRIDIUM 144
7,IRIDIUM 164,IRIDIUM 144
8,IRIDIUM 164,IRIDIUM 144
9,IRIDIUM 138,IRIDIUM 171
10,IRIDIUM 100,IRIDIUM 147
11,IRIDIUM 121,IRIDIUM 144
12,IRIDIUM 104,IRIDIUM 119
13,IRIDIUM 163,IRIDIUM 134
14,IRIDIUM 146,IRIDIUM 144
15,IRIDIUM 106,IRIDIUM 147
16,IRIDIUM 121,IRIDIUM 144
17,IRIDIUM 100,IRIDIUM 125
18,IRIDIUM 164,IRIDIUM 144
19,IRIDIUM 148,IRIDIUM 134
20,IRIDIUM 163,IRIDIUM 119
21,IRIDIUM 148,IRIDIUM 134
22,IRIDIUM 163,IRIDIUM 160
23,IRIDIUM 100,IRIDIUM 125
24,IRIDIUM 100,IRIDIUM 147
25,IRIDIUM 102,IRIDIUM 134
26,IRIDIUM 121,IRIDIUM 144
27,IRIDIUM 138,IRIDIUM 144
28,IRIDIUM 163,IRIDIUM 160
29,IRIDIUM 148,IRIDIUM 134
30,IRIDIUM 102,IRIDIUM 163
31,IRIDIUM 134,IRIDIUM 123
32,IRIDIUM 163,IRIDIUM 119
33,IRIDIUM 137,IRIDIUM 134
34,IRIDIUM 102,IRIDIUM 134
35,IRIDIUM 102,IRIDIUM 163
36,IRIDIUM 163,IRIDIUM 119
37,IRIDIUM 102,IRIDIUM 163
38,IRIDIUM 160,IRIDIUM 163
39,IRIDIUM 119,IRIDIUM 128
40,IRIDIUM 121,IRIDIUM 144
41,IRIDIUM 138,IRIDIUM 171
42,IRIDIUM 160,IRIDIUM 163
43,IRIDIUM 163,IRIDIUM 160
44,IRIDIUM 146,IRIDIUM 144
45,IRIDIUM 100,IRIDIUM 147
46,IRIDIUM 137,IRIDIUM 134
47,IRIDIUM 160,IRIDIUM 163
48,IRIDIUM 100,IRIDIUM 125
49,IRIDIUM 102,IRIDIUM 134
50,IRIDIUM 163,IRIDIUM 134
51,IRIDIUM 144,IRIDIUM 120
52,IRIDIUM 102,IRIDIUM 163
53,IRIDIUM 164,IRIDIUM 144
54,IRIDIUM 100,IRIDIUM 147
55,IRIDIUM 119,IRIDIUM 128
56,IRIDIUM 121,IRIDIUM 144
57,IRIDIUM 138,IRIDIUM 144
58,IRIDIUM 144,IRIDIUM 120
59,IRIDIUM 148,IRIDIUM 134
60,IRIDIUM 102,IRIDIUM 163
61,IRIDIUM 144,IRIDIUM 120
62,IRIDIUM 138,IRIDIUM 171
63,IRIDIUM 144,IRIDIUM 120
64,IRIDIUM 100,IRIDIUM 125
65,IRIDIUM 138,IRIDIUM 171
66,IRIDIUM 163,IRIDIUM 119
67,IRIDIUM 138,IRIDIUM 144
68,IRIDIUM 106,IRIDIUM 147
69,IRIDIUM 138,IRIDIUM 171
70,IRIDIUM 106,IRIDIUM 147
71,IRIDIUM 146,IRIDIUM 144
72,IRIDIUM 106,IRIDIUM 147
73,IRIDIUM 119,IRIDIUM 128
74,IRIDIUM 146,IRIDIUM 144
75,IRIDIUM 144,IRIDIUM 120
76,IRIDIUM 163,IRIDIUM 119
77,IRIDIUM 160,IRIDIUM 163
78,IRIDIUM 146,IRIDIUM 144
79,IRIDIUM 148,IRIDIUM 134
